系列,序号,型号,开机靓好,开机屏好碎壳,开机屏坏/外碎,开机屏坏,不开机,深板·整机,备注
点数系列,6,Y23,15,15,,15,15,15,七成看角好
点数系列,1,Y23l,15,15,,15,15,15,
点数系列,2,Y22l,10,10,,10,10,10,
点数系列,3,Y20,10,10,,10,10,10,六成看好
点数系列,4,Y19,10,10,,10,10,10,
点数系列,5,Y18,10,10,,10,10,10,
点数系列,6,Y17,10,10,,10,10,10,四成看好
点数系列,1,小卡Y15,10,10,,10,10,10,
点数系列,2,大卡Y13,10,10,,10,10,10,
点数系列,3,小卡Y13,10,10,,10,10,10,六成开机看好
点数系列,4,Y11,10,10,,10,10,10,
点数系列,5,V3max,60,60,,60,60,60,五成看好
点数系列,6,V3ma,35,35,,35,35,35,
点数系列,1,X3sw,10,10,,10,10,10,
点数系列,2,V3,35,35,,35,35,35,
点数系列,3,X3t,15,15,,15,15,15,五成看好
点数系列,4,X1,10,10,,10,10,10,
点数系列,5,S7老款,10,10,,10,10,10,
